Year,Age_Group,NumVisits,Age_adjusted_rate,countyfips,County,zip,Lat,Lng
2009,Adults (18+),146.0,35.54151116,6037,LOS ANGELES,"90006
(34.05010243400005, -118.29268904499997)",34.05010243400005, -118.29268904499997
2009,All Ages,193.0,48.79480783,6037,LOS ANGELES,"90007
(34.02833395700003, -118.28507659499996)",34.02833395700003, -118.28507659499996
2009,Children (0-17),102.0,95.51782920000001,6037,LOS ANGELES,"90007
(34.02833395700003, -118.28507659499996)",34.02833395700003, -118.28507659499996
2009,Adults (18+),91.0,32.57121507,6037,LOS ANGELES,"90007
(34.02833395700003, -118.28507659499996)",34.02833395700003, -118.28507659499996
2009,All Ages,376.0,118.84786399999999,6037,LOS ANGELES,"90008
(34.01097131500006, -118.34158773599995)",34.01097131500006, -118.34158773599995
2009,Children (0-17),173.0,214.5257139,6037,LOS ANGELES,"90008
(34.01097131500006, -118.34158773599995)",34.01097131500006, -118.34158773599995
2009,Adults (18+),203.0,85.62573022,6037,LOS ANGELES,"90008
(34.01097131500006, -118.34158773599995)",34.01097131500006, -118.34158773599995
2009,All Ages,678.0,63.05125802,6037,LOS ANGELES,"90011
(34.007903741000064, -118.259036977)",34.007903741000064, -118.259036977
2009,Children (0-17),372.0,85.92294868,6037,LOS ANGELES,"90011
(34.007903741000064, -118.259036977)",34.007903741000064, -118.259036977
2009,Adults (18+),306.0,55.10954162,6037,LOS ANGELES,"90011
(34.007903741000064, -118.259036977)",34.007903741000064, -118.259036977
2009,All Ages,65.0,19.71956303,6037,LOS ANGELES,"90012
(34.05948330100006, -118.24204800499996)",34.05948330100006, -118.24204800499996
2009,Children (0-17),16.0,30.9993793,6037,LOS ANGELES,"90012
(34.05948330100006, -118.24204800499996)",34.05948330100006, -118.24204800499996
2009,Adults (18+),49.0,15.8028826,6037,LOS ANGELES,"90012
(34.05948330100006, -118.24204800499996)",34.05948330100006, -118.24204800499996
2009,All Ages,109.0,98.4194571,6037,LOS ANGELES,"90013
(34.04602247400004, -118.24624962599995)",34.04602247400004, -118.24624962599995
2009,Adults (18+),101.0,104.3704627,6037,LOS ANGELES,"90013
(34.04602247400004, -118.24624962599995)",34.04602247400004, -118.24624962599995
2009,All Ages,62.0,201.10020790000002,6037,LOS ANGELES,"90014
(34.04475373200006, -118.25273671899998)",34.04475373200006, -118.25273671899998
2009,Adults (18+),55.0,171.82315930000001,6037,LOS ANGELES,"90014
(34.04475373200006, -118.25273671899998)",34.04475373200006, -118.25273671899998
2009,All Ages,98.0,47.95617161,6037,LOS ANGELES,"90015
(34.04012195700005, -118.26498963499995)",34.04012195700005, -118.26498963499995
2009,Children (0-17),50.0,88.27126671,6037,LOS ANGELES,"90015
(34.04012195700005, -118.26498963499995)",34.04012195700005, -118.26498963499995
2009,Adults (18+),48.0,33.95759747,6037,LOS ANGELES,"90015
(34.04012195700005, -118.26498963499995)",34.04012195700005, -118.26498963499995
2009,All Ages,396.0,79.54552448,6037,LOS ANGELES,"90016
(34.028881427000044, -118.35308896599997)",34.028881427000044, -118.35308896599997
2009,Children (0-17),185.0,132.34810009999998,6037,LOS ANGELES,"90016
(34.028881427000044, -118.35308896599997)",34.028881427000044, -118.35308896599997
2009,Adults (18+),211.0,61.21093363,6037,LOS ANGELES,"90016
(34.028881427000044, -118.35308896599997)",34.028881427000044, -118.35308896599997
2009,All Ages,145.0,48.96163317,6037,LOS ANGELES,"90017
(34.05230100700004, -118.26338632699998)",34.05230100700004, -118.26338632699998
2009,Children (0-17),74.0,88.24759765,6037,LOS ANGELES,"90017
(34.05230100700004, -118.26338632699998)",34.05230100700004, -118.26338632699998
2009,Adults (18+),71.0,35.32040306,6037,LOS ANGELES,"90017
(34.05230100700004, -118.26338632699998)",34.05230100700004, -118.26338632699998
2009,All Ages,412.0,73.76148529,6037,LOS ANGELES,"90018
(34.030771505000075, -118.31686899999994)",34.030771505000075, -118.31686899999994
2009,Children (0-17),192.0,123.6318533,6037,LOS ANGELES,"90018
(34.030771505000075, -118.31686899999994)",34.030771505000075, -118.31686899999994
2009,Adults (18+),220.0,56.44504217,6037,LOS ANGELES,"90018
(34.030771505000075, -118.31686899999994)",34.030771505000075, -118.31686899999994
2009,All Ages,387.0,54.34482408,6037,LOS ANGELES,"90019
(34.04884238300008, -118.33610868499994)",34.04884238300008, -118.33610868499994
2009,Children (0-17),157.0,85.9343769,6037,LOS ANGELES,"90019
(34.04884238300008, -118.33610868499994)",34.04884238300008, -118.33610868499994
2009,Adults (18+),230.0,43.37601213,6037,LOS ANGELES,"90019
(34.04884238300008, -118.33610868499994)",34.04884238300008, -118.33610868499994
2009,All Ages,175.0,42.34013385,6037,LOS ANGELES,"90020
(34.06636144500004, -118.30164844599994)",34.06636144500004, -118.30164844599994
2009,Children (0-17),101.0,88.83318289,6037,LOS ANGELES,"90020
(34.06636144500004, -118.30164844599994)",34.06636144500004, -118.30164844599994
